Date,Open,High,Low,Close,Adj Close,Volume
2020-08-04,1.840000,1.840000,1.710000,1.723000,1.723000,2500
2020-08-05,1.820000,1.820000,1.710000,1.710000,1.710000,6000
2020-08-06,1.710000,1.780000,1.700000,1.700000,1.700000,3200
2020-08-07,1.697000,1.719000,1.420000,1.500000,1.500000,31300
2020-08-10,1.560000,1.638000,1.560000,1.600000,1.600000,2100
2020-08-11,1.520000,1.679000,1.520000,1.530000,1.530000,1700
2020-08-12,1.613000,1.613000,1.513000,1.513000,1.513000,1700
2020-08-13,1.640000,1.640000,1.620000,1.620000,1.620000,3600
2020-08-14,1.610000,1.610000,1.480000,1.480000,1.480000,6600
2020-08-17,1.560000,1.560000,1.430000,1.470000,1.470000,2300
2020-08-18,1.470000,1.470000,1.280000,1.310000,1.310000,11400
2020-08-19,1.380000,1.380000,1.380000,1.380000,1.380000,500
2020-08-20,1.380000,1.380000,1.380000,1.380000,1.380000,0
2020-08-21,1.310000,1.310000,1.310000,1.310000,1.310000,1700
2020-08-24,1.280000,1.280000,1.120000,1.180000,1.180000,10600
2020-08-25,1.130000,1.200000,1.120000,1.200000,1.200000,7100
2020-08-26,1.140000,1.260000,1.120000,1.260000,1.260000,2000
2020-08-27,1.130000,1.308000,1.130000,1.308000,1.308000,4900
2020-08-28,1.140000,1.240000,1.140000,1.240000,1.240000,1000
2020-08-31,1.250000,1.250000,1.250000,1.250000,1.250000,300
2020-09-01,1.120000,1.190000,1.110000,1.110000,1.110000,2600
2020-09-02,1.230000,1.230000,1.150000,1.150000,1.150000,2400
2020-09-03,1.111000,1.150000,1.110000,1.110000,1.110000,800
2020-09-04,1.180000,1.180000,1.151000,1.151000,1.151000,600
2020-09-08,1.151000,1.151000,1.151000,1.151000,1.151000,0
2020-09-09,1.114000,1.114000,1.110000,1.110000,1.110000,300
2020-09-10,1.110000,1.110000,1.110000,1.110000,1.110000,0
2020-09-11,1.110000,1.110000,1.110000,1.110000,1.110000,0
2020-09-14,1.120000,1.150000,1.117000,1.150000,1.150000,3800
2020-09-15,1.115000,1.115000,1.080000,1.080000,1.080000,1600
2020-09-16,1.130000,1.140000,1.080000,1.080000,1.080000,2100
2020-09-17,1.090000,1.090000,1.010000,1.010000,1.010000,2400
2020-09-18,1.080000,1.090000,1.070000,1.090000,1.090000,5300
2020-09-21,1.090000,1.090000,1.090000,1.090000,1.090000,0
2020-09-22,1.120000,1.170000,1.060000,1.090000,1.090000,11800
2020-09-23,1.030000,1.090000,0.900000,0.900000,0.900000,7600
2020-09-24,0.998000,0.998000,0.998000,0.998000,0.998000,1500
2020-09-25,0.900000,1.000000,0.900000,0.927000,0.927000,23000
2020-09-28,0.900000,0.920000,0.850000,0.860000,0.860000,25100
2020-09-29,0.861000,0.900000,0.861000,0.900000,0.900000,1800
2020-09-30,0.898000,0.904000,0.896000,0.896000,0.896000,5700
2020-10-01,0.890000,0.890000,0.890000,0.890000,0.890000,500
2020-10-02,0.890000,0.904000,0.860000,0.860000,0.860000,9200
2020-10-05,0.910000,0.910000,0.800000,0.908000,0.908000,7300
2020-10-06,0.740000,0.900000,0.700000,0.826000,0.826000,31400
2020-10-07,0.850000,0.850000,0.710000,0.840000,0.840000,34500
2020-10-08,0.781000,0.850000,0.727000,0.803000,0.803000,11200
2020-10-09,0.910000,0.910000,0.731000,0.879000,0.879000,3500
2020-10-12,0.810000,0.892000,0.730000,0.760000,0.760000,21900
2020-10-13,0.800000,0.890000,0.750000,0.761000,0.761000,29700
2020-10-14,0.840000,0.840000,0.760000,0.767000,0.767000,15800
2020-10-15,0.767000,0.830000,0.767000,0.820000,0.820000,4300
2020-10-16,0.820000,2.000000,0.820000,1.100000,1.100000,3717700
